year,month,lat,lng,weight
0,8,-12,62,0.00064
0,8,-12,64,0.00038
0,8,-12,65,0.00124
0,8,-12,66,0.00457
0,8,-12,67,0.00033
0,8,-12,68,0.00053
0,8,-12,70,0.00310
0,8,-12,71,0.00263
0,8,-12,72,0.00201
0,8,-12,73,0.00149
0,8,-12,74,0.00366
0,8,-12,75,0.00263
0,8,-12,76,0.00344
0,8,-12,77,0.00747
0,8,-12,78,0.00154
0,8,-12,79,0.00452
0,8,-12,80,0.00375
0,8,-12,81,0.00174
0,8,-12,82,0.00220
0,8,-12,83,0.00145
0,8,-12,84,0.00203
0,8,-12,86,0.00050
0,8,-12,87,0.00041
0,8,-12,88,0.00058
0,8,-12,91,0.00067
0,8,-12,92,0.00170
0,8,-12,93,0.00257
0,8,-12,94,0.00185
0,8,-12,96,0.00164
0,8,-12,97,0.00041
0,8,-12,98,0.00570
0,8,-12,99,0.00092
0,8,-12,100,0.00047
0,8,-12,101,0.00037
0,8,-12,102,0.00048
0,8,-12,104,0.00513
0,8,-12,105,0.00027
0,8,-12,113,0.00082
0,8,-11,56,0.00038
0,8,-11,62,0.00036
0,8,-11,65,0.00026
0,8,-11,66,0.00105
0,8,-11,67,0.00134
0,8,-11,68,0.00038
0,8,-11,69,0.00036
0,8,-11,71,0.00035
0,8,-11,72,0.00170
0,8,-11,73,0.00162
0,8,-11,74,0.00561
0,8,-11,77,0.00046
0,8,-11,78,0.00106
0,8,-11,79,0.00068
0,8,-11,80,0.00356
0,8,-11,90,0.00060
0,8,-11,91,0.00071
0,8,-11,92,0.00118
0,8,-11,93,0.00268
0,8,-11,94,0.00145
0,8,-11,95,0.00253
0,8,-11,96,0.00352
0,8,-11,97,0.00063
0,8,-11,98,0.00403
0,8,-11,99,0.00235
0,8,-11,100,0.00095
0,8,-11,101,0.00352
0,8,-11,102,0.00109
0,8,-11,103,0.00346
0,8,-11,104,0.00072
0,8,-11,105,0.00034
0,8,-11,106,0.00242
0,8,-11,107,0.00115
0,8,-10,43,0.00029
0,8,-10,47,0.00029
0,8,-10,48,0.00047
0,8,-10,49,0.00120
0,8,-10,50,0.00125
0,8,-10,51,0.00061
0,8,-10,52,0.00040
0,8,-10,54,0.00112
